image_path,label
/content/drive/My Drive/facial_expression_dataset/train/sad/18090.jpg,sad
/content/drive/My Drive/facial_expression_dataset/train/happy/10477.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/surprise/18257.jpg,surprise
/content/drive/My Drive/facial_expression_dataset/train/angry/12735.jpg,angry
/content/drive/My Drive/facial_expression_dataset/train/fear/27604.jpg,fear
/content/drive/My Drive/facial_expression_dataset/train/neutral/468.jpg,neutral
/content/drive/My Drive/facial_expression_dataset/train/fear/26718.jpg,fear
/content/drive/My Drive/facial_expression_dataset/train/surprise/31340.jpg,surprise
/content/drive/My Drive/facial_expression_dataset/train/happy/34702.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/fear/3887.jpg,fear
/content/drive/My Drive/facial_expression_dataset/train/sad/13093.jpg,sad
/content/drive/My Drive/facial_expression_dataset/train/neutral/3066.jpg,neutral
/content/drive/My Drive/facial_expression_dataset/train/neutral/31432.jpg,neutral
/content/drive/My Drive/facial_expression_dataset/train/happy/13007.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/fear/10869.jpg,fear
/content/drive/My Drive/facial_expression_dataset/train/angry/18890.jpg,angry
/content/drive/My Drive/facial_expression_dataset/train/surprise/6387.jpg,surprise
/content/drive/My Drive/facial_expression_dataset/train/angry/31749.jpg,angry
/content/drive/My Drive/facial_expression_dataset/train/happy/15270.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/neutral/2169.jpg,neutral
/content/drive/My Drive/facial_expression_dataset/train/neutral/30583.jpg,neutral
/content/drive/My Drive/facial_expression_dataset/train/fear/13946.jpg,fear
/content/drive/My Drive/facial_expression_dataset/train/surprise/20791.jpg,surprise
/content/drive/My Drive/facial_expression_dataset/train/neutral/35537.jpg,neutral
/content/drive/My Drive/facial_expression_dataset/train/angry/18458.jpg,angry
/content/drive/My Drive/facial_expression_dataset/train/fear/702.jpg,fear
/content/drive/My Drive/facial_expression_dataset/train/happy/33342.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/surprise/12624.jpg,surprise
/content/drive/My Drive/facial_expression_dataset/train/happy/21542.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/fear/10486.jpg,fear
/content/drive/My Drive/facial_expression_dataset/train/happy/22133.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/neutral/29384.jpg,neutral
/content/drive/My Drive/facial_expression_dataset/train/neutral/3061.jpg,neutral
/content/drive/My Drive/facial_expression_dataset/train/happy/3638.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/neutral/8808.jpg,neutral
/content/drive/My Drive/facial_expression_dataset/train/surprise/25149.jpg,surprise
/content/drive/My Drive/facial_expression_dataset/train/surprise/23735.jpg,surprise
/content/drive/My Drive/facial_expression_dataset/train/sad/8744.jpg,sad
/content/drive/My Drive/facial_expression_dataset/train/happy/28945.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/fear/5727.jpg,fear
/content/drive/My Drive/facial_expression_dataset/train/angry/10965.jpg,angry
/content/drive/My Drive/facial_expression_dataset/train/angry/26256.jpg,angry
/content/drive/My Drive/facial_expression_dataset/train/fear/2251.jpg,fear
/content/drive/My Drive/facial_expression_dataset/train/sad/27263.jpg,sad
/content/drive/My Drive/facial_expression_dataset/train/fear/18219.jpg,fear
/content/drive/My Drive/facial_expression_dataset/train/angry/34283.jpg,angry
/content/drive/My Drive/facial_expression_dataset/train/neutral/8567.jpg,neutral
/content/drive/My Drive/facial_expression_dataset/train/angry/18972.jpg,angry
/content/drive/My Drive/facial_expression_dataset/train/fear/8621.jpg,fear
/content/drive/My Drive/facial_expression_dataset/train/fear/23093.jpg,fear
/content/drive/My Drive/facial_expression_dataset/train/fear/12696.jpg,fear
/content/drive/My Drive/facial_expression_dataset/train/sad/10412.jpg,sad
/content/drive/My Drive/facial_expression_dataset/train/fear/6840.jpg,fear
/content/drive/My Drive/facial_expression_dataset/train/angry/32078.jpg,angry
/content/drive/My Drive/facial_expression_dataset/train/happy/28257.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/happy/2768.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/angry/29862.jpg,angry
/content/drive/My Drive/facial_expression_dataset/train/angry/1221.jpg,angry
/content/drive/My Drive/facial_expression_dataset/train/angry/29706.jpg,angry
/content/drive/My Drive/facial_expression_dataset/train/happy/28909.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/fear/4602.jpg,fear
/content/drive/My Drive/facial_expression_dataset/train/sad/7858.jpg,sad
/content/drive/My Drive/facial_expression_dataset/train/sad/5106.jpg,sad
/content/drive/My Drive/facial_expression_dataset/train/fear/9126.jpg,fear
/content/drive/My Drive/facial_expression_dataset/train/angry/8934.jpg,angry
/content/drive/My Drive/facial_expression_dataset/train/surprise/31391.jpg,surprise
/content/drive/My Drive/facial_expression_dataset/train/fear/34504.jpg,fear
/content/drive/My Drive/facial_expression_dataset/train/surprise/13530.jpg,surprise
/content/drive/My Drive/facial_expression_dataset/train/fear/622.jpg,fear
/content/drive/My Drive/facial_expression_dataset/train/happy/802.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/happy/2186.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/fear/2550.jpg,fear
/content/drive/My Drive/facial_expression_dataset/train/happy/26166.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/happy/19703.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/sad/23438.jpg,sad
/content/drive/My Drive/facial_expression_dataset/train/angry/35278.jpg,angry
/content/drive/My Drive/facial_expression_dataset/train/sad/21336.jpg,sad
/content/drive/My Drive/facial_expression_dataset/train/happy/18477.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/neutral/24321.jpg,neutral
/content/drive/My Drive/facial_expression_dataset/train/fear/10987.jpg,fear
/content/drive/My Drive/facial_expression_dataset/train/neutral/8450.jpg,neutral
/content/drive/My Drive/facial_expression_dataset/train/happy/3107.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/surprise/4577.jpg,surprise
/content/drive/My Drive/facial_expression_dataset/train/fear/29908.jpg,fear
/content/drive/My Drive/facial_expression_dataset/train/surprise/31731.jpg,surprise
/content/drive/My Drive/facial_expression_dataset/train/happy/17972.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/angry/74.jpg,angry
/content/drive/My Drive/facial_expression_dataset/train/fear/32877.jpg,fear
/content/drive/My Drive/facial_expression_dataset/train/fear/16617.jpg,fear
/content/drive/My Drive/facial_expression_dataset/train/happy/13414.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/surprise/28475.jpg,surprise
/content/drive/My Drive/facial_expression_dataset/train/angry/34002.jpg,angry
/content/drive/My Drive/facial_expression_dataset/train/angry/12915.jpg,angry
/content/drive/My Drive/facial_expression_dataset/train/happy/30471.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/sad/16579.jpg,sad
/content/drive/My Drive/facial_expression_dataset/train/fear/13610.jpg,fear
/content/drive/My Drive/facial_expression_dataset/train/neutral/2171.jpg,neutral
/content/drive/My Drive/facial_expression_dataset/train/angry/27838.jpg,angry
/content/drive/My Drive/facial_expression_dataset/train/neutral/23356.jpg,neutral
/content/drive/My Drive/facial_expression_dataset/train/neutral/17861.jpg,neutral
/content/drive/My Drive/facial_expression_dataset/train/happy/19710.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/surprise/31512.jpg,surprise
/content/drive/My Drive/facial_expression_dataset/train/happy/27792.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/fear/25032.jpg,fear
/content/drive/My Drive/facial_expression_dataset/train/angry/7545.jpg,angry
/content/drive/My Drive/facial_expression_dataset/train/surprise/33241.jpg,surprise
/content/drive/My Drive/facial_expression_dataset/train/happy/15417.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/fear/3900.jpg,fear
/content/drive/My Drive/facial_expression_dataset/train/happy/12784.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/sad/17055.jpg,sad
/content/drive/My Drive/facial_expression_dataset/train/fear/2941.jpg,fear
/content/drive/My Drive/facial_expression_dataset/train/happy/450.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/neutral/33955.jpg,neutral
/content/drive/My Drive/facial_expression_dataset/train/angry/8998.jpg,angry
/content/drive/My Drive/facial_expression_dataset/train/surprise/5294.jpg,surprise
/content/drive/My Drive/facial_expression_dataset/train/happy/12438.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/happy/29856.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/sad/28865.jpg,sad
/content/drive/My Drive/facial_expression_dataset/train/angry/2288.jpg,angry
/content/drive/My Drive/facial_expression_dataset/train/surprise/24339.jpg,surprise
/content/drive/My Drive/facial_expression_dataset/train/sad/17419.jpg,sad
/content/drive/My Drive/facial_expression_dataset/train/sad/31032.jpg,sad
/content/drive/My Drive/facial_expression_dataset/train/angry/4073.jpg,angry
/content/drive/My Drive/facial_expression_dataset/train/angry/26804.jpg,angry
/content/drive/My Drive/facial_expression_dataset/train/sad/22003.jpg,sad
/content/drive/My Drive/facial_expression_dataset/train/sad/27799.jpg,sad
/content/drive/My Drive/facial_expression_dataset/train/neutral/32115.jpg,neutral
/content/drive/My Drive/facial_expression_dataset/train/happy/18649.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/angry/12585.jpg,angry
/content/drive/My Drive/facial_expression_dataset/train/sad/8346.jpg,sad
/content/drive/My Drive/facial_expression_dataset/train/sad/19916.jpg,sad
/content/drive/My Drive/facial_expression_dataset/train/angry/3119.jpg,angry
/content/drive/My Drive/facial_expression_dataset/train/angry/12118.jpg,angry
/content/drive/My Drive/facial_expression_dataset/train/happy/24828.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/surprise/22341.jpg,surprise
/content/drive/My Drive/facial_expression_dataset/train/angry/7199.jpg,angry
/content/drive/My Drive/facial_expression_dataset/train/angry/12432.jpg,angry
/content/drive/My Drive/facial_expression_dataset/train/sad/352.jpg,sad
/content/drive/My Drive/facial_expression_dataset/train/surprise/27286.jpg,surprise
/content/drive/My Drive/facial_expression_dataset/train/neutral/10801.jpg,neutral
/content/drive/My Drive/facial_expression_dataset/train/happy/17948.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/neutral/28551.jpg,neutral
/content/drive/My Drive/facial_expression_dataset/train/fear/4103.jpg,fear
/content/drive/My Drive/facial_expression_dataset/train/happy/13342.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/surprise/31294.jpg,surprise
/content/drive/My Drive/facial_expression_dataset/train/neutral/2263.jpg,neutral
/content/drive/My Drive/facial_expression_dataset/train/neutral/24844.jpg,neutral
/content/drive/My Drive/facial_expression_dataset/train/sad/25260.jpg,sad
/content/drive/My Drive/facial_expression_dataset/train/happy/26893.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/happy/18225.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/sad/24917.jpg,sad
/content/drive/My Drive/facial_expression_dataset/train/fear/30896.jpg,fear
/content/drive/My Drive/facial_expression_dataset/train/neutral/10586.jpg,neutral
/content/drive/My Drive/facial_expression_dataset/train/happy/7783.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/angry/9173.jpg,angry
/content/drive/My Drive/facial_expression_dataset/train/sad/33555.jpg,sad
/content/drive/My Drive/facial_expression_dataset/train/angry/8887.jpg,angry
/content/drive/My Drive/facial_expression_dataset/train/neutral/22586.jpg,neutral
/content/drive/My Drive/facial_expression_dataset/train/disgust/5785.jpg,disgust
/content/drive/My Drive/facial_expression_dataset/train/happy/7526.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/fear/13166.jpg,fear
/content/drive/My Drive/facial_expression_dataset/train/fear/14369.jpg,fear
/content/drive/My Drive/facial_expression_dataset/train/surprise/15735.jpg,surprise
/content/drive/My Drive/facial_expression_dataset/train/neutral/12796.jpg,neutral
/content/drive/My Drive/facial_expression_dataset/train/neutral/27551.jpg,neutral
/content/drive/My Drive/facial_expression_dataset/train/angry/15471.jpg,angry
/content/drive/My Drive/facial_expression_dataset/train/sad/34137.jpg,sad
/content/drive/My Drive/facial_expression_dataset/train/fear/29688.jpg,fear
/content/drive/My Drive/facial_expression_dataset/train/angry/15278.jpg,angry
/content/drive/My Drive/facial_expression_dataset/train/happy/21015.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/surprise/27370.jpg,surprise
/content/drive/My Drive/facial_expression_dataset/train/neutral/29859.jpg,neutral
/content/drive/My Drive/facial_expression_dataset/train/angry/6168.jpg,angry
/content/drive/My Drive/facial_expression_dataset/train/fear/9968.jpg,fear
/content/drive/My Drive/facial_expression_dataset/train/neutral/17272.jpg,neutral
/content/drive/My Drive/facial_expression_dataset/train/sad/5970.jpg,sad
/content/drive/My Drive/facial_expression_dataset/train/neutral/23258.jpg,neutral
/content/drive/My Drive/facial_expression_dataset/train/happy/28806.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/neutral/6602.jpg,neutral
/content/drive/My Drive/facial_expression_dataset/train/fear/26541.jpg,fear
/content/drive/My Drive/facial_expression_dataset/train/happy/19277.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/happy/23619.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/happy/14458.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/happy/13753.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/sad/22258.jpg,sad
/content/drive/My Drive/facial_expression_dataset/train/surprise/12829.jpg,surprise
/content/drive/My Drive/facial_expression_dataset/train/fear/10941.jpg,fear
/content/drive/My Drive/facial_expression_dataset/train/fear/31426.jpg,fear
/content/drive/My Drive/facial_expression_dataset/train/happy/8191.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/surprise/8917.jpg,surprise
/content/drive/My Drive/facial_expression_dataset/train/angry/18176.jpg,angry
/content/drive/My Drive/facial_expression_dataset/train/happy/31214.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/fear/10152.jpg,fear
/content/drive/My Drive/facial_expression_dataset/train/neutral/10323.jpg,neutral
/content/drive/My Drive/facial_expression_dataset/train/sad/29188.jpg,sad
/content/drive/My Drive/facial_expression_dataset/train/surprise/18854.jpg,surprise
/content/drive/My Drive/facial_expression_dataset/train/neutral/30275.jpg,neutral
/content/drive/My Drive/facial_expression_dataset/train/happy/17115.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/happy/21644.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/angry/17860.jpg,angry
/content/drive/My Drive/facial_expression_dataset/train/fear/24422.jpg,fear
/content/drive/My Drive/facial_expression_dataset/train/surprise/35617.jpg,surprise
/content/drive/My Drive/facial_expression_dataset/train/happy/25272.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/happy/18444.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/happy/26119.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/fear/16097.jpg,fear
/content/drive/My Drive/facial_expression_dataset/train/neutral/8799.jpg,neutral
/content/drive/My Drive/facial_expression_dataset/train/happy/15832.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/surprise/35601.jpg,surprise
/content/drive/My Drive/facial_expression_dataset/train/happy/8667.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/happy/2025.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/fear/23636.jpg,fear
/content/drive/My Drive/facial_expression_dataset/train/neutral/12806.jpg,neutral
/content/drive/My Drive/facial_expression_dataset/train/angry/25977.jpg,angry
/content/drive/My Drive/facial_expression_dataset/train/sad/28615.jpg,sad
/content/drive/My Drive/facial_expression_dataset/train/fear/17844.jpg,fear
/content/drive/My Drive/facial_expression_dataset/train/neutral/9906.jpg,neutral
/content/drive/My Drive/facial_expression_dataset/train/happy/15939.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/surprise/8274.jpg,surprise
/content/drive/My Drive/facial_expression_dataset/train/surprise/8210.jpg,surprise
/content/drive/My Drive/facial_expression_dataset/train/happy/21363.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/surprise/15681.jpg,surprise
/content/drive/My Drive/facial_expression_dataset/train/neutral/26311.jpg,neutral
/content/drive/My Drive/facial_expression_dataset/train/fear/15225.jpg,fear
/content/drive/My Drive/facial_expression_dataset/train/surprise/13914.jpg,surprise
/content/drive/My Drive/facial_expression_dataset/train/sad/24011.jpg,sad
/content/drive/My Drive/facial_expression_dataset/train/neutral/19905.jpg,neutral
/content/drive/My Drive/facial_expression_dataset/train/neutral/12606.jpg,neutral
/content/drive/My Drive/facial_expression_dataset/train/neutral/22644.jpg,neutral
/content/drive/My Drive/facial_expression_dataset/train/fear/6900.jpg,fear
/content/drive/My Drive/facial_expression_dataset/train/happy/21669.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/happy/35885.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/sad/8217.jpg,sad
/content/drive/My Drive/facial_expression_dataset/train/fear/4601.jpg,fear
/content/drive/My Drive/facial_expression_dataset/train/happy/28164.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/angry/25340.jpg,angry
/content/drive/My Drive/facial_expression_dataset/train/surprise/6086.jpg,surprise
/content/drive/My Drive/facial_expression_dataset/train/surprise/9655.jpg,surprise
/content/drive/My Drive/facial_expression_dataset/train/fear/25053.jpg,fear
/content/drive/My Drive/facial_expression_dataset/train/neutral/20644.jpg,neutral
/content/drive/My Drive/facial_expression_dataset/train/happy/8476.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/happy/11695.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/sad/11425.jpg,sad
/content/drive/My Drive/facial_expression_dataset/train/fear/14163.jpg,fear
/content/drive/My Drive/facial_expression_dataset/train/sad/16357.jpg,sad
/content/drive/My Drive/facial_expression_dataset/train/sad/7952.jpg,sad
/content/drive/My Drive/facial_expression_dataset/train/happy/11768.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/surprise/5190.jpg,surprise
/content/drive/My Drive/facial_expression_dataset/train/surprise/14918.jpg,surprise
/content/drive/My Drive/facial_expression_dataset/train/fear/31342.jpg,fear
/content/drive/My Drive/facial_expression_dataset/train/angry/31044.jpg,angry
/content/drive/My Drive/facial_expression_dataset/train/happy/19515.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/fear/8013.jpg,fear
/content/drive/My Drive/facial_expression_dataset/train/neutral/29268.jpg,neutral
/content/drive/My Drive/facial_expression_dataset/train/surprise/1050.jpg,surprise
/content/drive/My Drive/facial_expression_dataset/train/happy/14668.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/angry/11449.jpg,angry
/content/drive/My Drive/facial_expression_dataset/train/angry/27090.jpg,angry
/content/drive/My Drive/facial_expression_dataset/train/happy/4275.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/happy/27839.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/disgust/14652.jpg,disgust
/content/drive/My Drive/facial_expression_dataset/train/neutral/1062.jpg,neutral
/content/drive/My Drive/facial_expression_dataset/train/angry/27510.jpg,angry
/content/drive/My Drive/facial_expression_dataset/train/happy/22487.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/happy/14156.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/sad/29141.jpg,sad
/content/drive/My Drive/facial_expression_dataset/train/sad/32694.jpg,sad
/content/drive/My Drive/facial_expression_dataset/train/surprise/15564.jpg,surprise
/content/drive/My Drive/facial_expression_dataset/train/sad/16602.jpg,sad
/content/drive/My Drive/facial_expression_dataset/train/fear/14657.jpg,fear
/content/drive/My Drive/facial_expression_dataset/train/happy/16462.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/neutral/18131.jpg,neutral
/content/drive/My Drive/facial_expression_dataset/train/happy/30477.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/sad/24447.jpg,sad
/content/drive/My Drive/facial_expression_dataset/train/fear/25923.jpg,fear
/content/drive/My Drive/facial_expression_dataset/train/angry/32816.jpg,angry
/content/drive/My Drive/facial_expression_dataset/train/fear/30232.jpg,fear
/content/drive/My Drive/facial_expression_dataset/train/angry/22830.jpg,angry
/content/drive/My Drive/facial_expression_dataset/train/happy/5913.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/angry/30972.jpg,angry
/content/drive/My Drive/facial_expression_dataset/train/angry/1392.jpg,angry
/content/drive/My Drive/facial_expression_dataset/train/neutral/27026.jpg,neutral
/content/drive/My Drive/facial_expression_dataset/train/angry/1558.jpg,angry
/content/drive/My Drive/facial_expression_dataset/train/neutral/7304.jpg,neutral
/content/drive/My Drive/facial_expression_dataset/train/happy/29172.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/angry/23287.jpg,angry
/content/drive/My Drive/facial_expression_dataset/train/fear/21878.jpg,fear
/content/drive/My Drive/facial_expression_dataset/train/surprise/1289.jpg,surprise
/content/drive/My Drive/facial_expression_dataset/train/sad/6354.jpg,sad
/content/drive/My Drive/facial_expression_dataset/train/neutral/28906.jpg,neutral
/content/drive/My Drive/facial_expression_dataset/train/angry/23867.jpg,angry
/content/drive/My Drive/facial_expression_dataset/train/surprise/8959.jpg,surprise
/content/drive/My Drive/facial_expression_dataset/train/angry/29347.jpg,angry
/content/drive/My Drive/facial_expression_dataset/train/sad/18030.jpg,sad
/content/drive/My Drive/facial_expression_dataset/train/sad/26328.jpg,sad
/content/drive/My Drive/facial_expression_dataset/train/neutral/20939.jpg,neutral
/content/drive/My Drive/facial_expression_dataset/train/sad/23833.jpg,sad
/content/drive/My Drive/facial_expression_dataset/train/happy/35035.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/happy/4470.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/surprise/155.jpg,surprise
/content/drive/My Drive/facial_expression_dataset/train/fear/10326.jpg,fear
/content/drive/My Drive/facial_expression_dataset/train/sad/2255.jpg,sad
/content/drive/My Drive/facial_expression_dataset/train/happy/12189.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/happy/7215.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/neutral/21219.jpg,neutral
/content/drive/My Drive/facial_expression_dataset/train/happy/3727.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/happy/14514.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/surprise/11811.jpg,surprise
/content/drive/My Drive/facial_expression_dataset/train/neutral/22379.jpg,neutral
/content/drive/My Drive/facial_expression_dataset/train/neutral/31275.jpg,neutral
/content/drive/My Drive/facial_expression_dataset/train/happy/5774.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/sad/33262.jpg,sad
/content/drive/My Drive/facial_expression_dataset/train/neutral/29590.jpg,neutral
/content/drive/My Drive/facial_expression_dataset/train/surprise/30862.jpg,surprise
/content/drive/My Drive/facial_expression_dataset/train/happy/25948.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/sad/5996.jpg,sad
/content/drive/My Drive/facial_expression_dataset/train/neutral/1218.jpg,neutral
/content/drive/My Drive/facial_expression_dataset/train/happy/26143.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/happy/4682.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/angry/13001.jpg,angry
/content/drive/My Drive/facial_expression_dataset/train/happy/28805.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/happy/35057.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/happy/439.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/sad/8989.jpg,sad
/content/drive/My Drive/facial_expression_dataset/train/happy/16269.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/happy/35089.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/angry/14511.jpg,angry
/content/drive/My Drive/facial_expression_dataset/train/angry/2247.jpg,angry
/content/drive/My Drive/facial_expression_dataset/train/fear/35479.jpg,fear
/content/drive/My Drive/facial_expression_dataset/train/sad/11564.jpg,sad
/content/drive/My Drive/facial_expression_dataset/train/neutral/5411.jpg,neutral
/content/drive/My Drive/facial_expression_dataset/train/neutral/15446.jpg,neutral
/content/drive/My Drive/facial_expression_dataset/train/angry/27950.jpg,angry
/content/drive/My Drive/facial_expression_dataset/train/happy/23776.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/happy/33888.jpg,happy
/content/drive/My Drive/facial_expression_dataset/train/fear/21733.jpg,fear
/content/drive/My Drive/facial_expression_dataset/train/fear/4071.jpg,fear
/content/drive/My Drive/facial_expression_dataset/train/neutral/5099.jpg,neutral
/content/drive/My Drive/facial_expression_dataset/train/angry/16608.jpg,angry
/content/drive/My Drive/facial_expression_dataset/train/sad/35327.jpg,sad
